Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name 	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance	SUB-9000000000001		SUB-9000000000001		Substance	Active	eService Production	creator		100085-64-1	Quaternary ammonium compounds, [2-[[2-[(2-carboxyethyl)(2-hydroxyethyl)amino]ethyl]amino]-2-oxoethyl]coco alkyldimethyl, hydroxides, inner salts	creator	D/P												
Substance	SUB-9000000000002		SUB-9000000000002		Substance	Active	eService Production	creator		10039-33-5	Di-n-octyltin bis(2-ethylhexyl maleate)		D/P												
Substance	SUB-9000000000003		SUB-9000000000003		Substance	Active	eService Production	creator		100-41-4	Ethylbenzene		D												
Substance	SUB-9000000000004		SUB-9000000000004		Substance	Active	eService Production	creator		10117-38-1	Potassium sulphite		D/P												
Substance	SUB-9000000000005		SUB-9000000000005		Substance	Active	eService Production	creator		31119-53-6	Cadmium sulfate		D/P												SVHC
Substance	SUB-9000000000006		SUB-9000000000006		Substance	Active	eService Production	creator		101-37-1	2,4,6-Triallyloxy-1,3,5-triazine		D												
Substance	SUB-9000000000007		SUB-9000000000007		Substance	Active	eService Production	creator		101463-69-8	Flufenoxuron; 1-[4-(2-Chloro-alpha,alpha,alpha-trifluoro-para-tolyloxy)-2-fluorophenyl]-3-(2,6-difluorobenzoyl)urea		D												
Substance	SUB-9000000000008		SUB-9000000000008		Substance	Active	eService Production	creator		101-55-3	Monobromodiphenyl ether		P												
Substance	SUB-9000000000009		SUB-9000000000009		Substance	Active	eService Production	creator		10187-52-7	Sodium hydrogen 2,2-methylenebis[4-chlorophenolate]		D/P												
Substance	SUB-9000000000010		SUB-9000000000010		Substance	Active	eService Production	creator		10192-92-4	Dibutyltin dimaleate		D/P												
Substance	SUB-9000000000011		SUB-9000000000011		Substance	Active	eService Production	creator		102184-95-2	Silicic acid, zirconium salt, cadmium pigment-encapsulated		D/P												
Substance	SUB-9000000000012		SUB-9000000000012		Substance	Active	eService Production	creator		10380-28-6	Oxine-copper		D/P												
Substance	SUB-9000000000013		SUB-9000000000013		Substance	Active	eService Production	creator		104-35-8	Ethanol, 2-(4-nonylphenoxy)-		D												
Substance	SUB-9000000000014		SUB-9000000000014		Substance	Active	eService Production	creator		10605-21-7	Carbendazim		D												
Substance	SUB-9000000000015		SUB-9000000000015		Substance	Active	eService Production	creator		106097-61-4	Gallium arsenide phosphide 		D												
Substance	SUB-9000000000016		SUB-9000000000016		Substance	Active	eService Production	creator		107-21-1	Ethane-1,2-diol		D												
Substance	SUB-9000000000017		SUB-9000000000017		Substance	Active	eService Production	creator		107-46-0	Hexamethyldisiloxane 		D												
Substance	SUB-9000000000018		SUB-9000000000018		Substance	Active	eService Production	creator		107-51-7	Octamethyltrisiloxane		D												
Substance	SUB-9000000000019		SUB-9000000000019		Substance	Active	eService Production	creator		107534-96-3	Tebuconazole; 1-(4-chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl)pentan-3-ol		D/P												
Substance	SUB-9000000000020		SUB-9000000000020		Substance	Active	eService Production	creator		108171-26-2	Alkanes, C10-12, chloro		P												
Substance	SUB-9000000000021		SUB-9000000000021		Substance	Active	eService Production	creator		1085-98-9	Dichlofluanid; N-[(Dichlorofluoromethyl)thio]-N',N'-dimethyl-N-phenylsulfamide		D/P												
