Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance					Substance	Active	eService Production	creator		10022-31-8		creator	D												
Substance					Substance	Active	eService Production	creator		10022-68-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		100231-59-2		creator	D												
Substance					Substance	Active	eService Production	creator		1002-53-5		creator	D/P												
Substance					Substance	Active	eService Production	creator		100258-44-4		creator	D												
Substance					Substance	Active	eService Production	creator		10026-17-2		creator	D												
Substance					Substance	Active	eService Production	creator		10026-18-3		creator	D												
Substance					Substance	Active	eService Production	creator		10026-22-9		creator	D												
Substance					Substance	Active	eService Production	creator		10026-23-0		creator	D												
Substance					Substance	Active	eService Production	creator		10026-24-1		creator	D												
Substance					Substance	Active	eService Production	creator		10028-18-9		creator	D												
Substance					Substance	Active	eService Production	creator		1002-88-6		creator	D												
Substance					Substance	Active	eService Production	creator		10031-13-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		10031-18-2		creator	D/P												
Substance					Substance	Active	eService Production	creator		10031-22-8		creator	D/P												
Substance					Substance	Active	eService Production	creator		10031-34-2		creator	D												
Substance					Substance	Active	eService Production	creator		10034-81-8		creator	D												
Substance					Substance	Active	eService Production	creator		100402-53-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		100402-65-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		100402-96-8		creator	D/P												
Substance					Substance	Active	eService Production	creator		100-42-5		creator	D												
Substance					Substance	Active	eService Production	creator		10045-94-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		10048-95-0		creator	D												
Substance					Substance	Active	eService Production	creator		10048-99-4		creator	D/P												
Substance					Substance	Active	eService Production	creator		100-56-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		100-57-2		creator	D/P												
Substance					Substance	Active	eService Production	creator		100-61-8		creator	D												
Substance					Substance	Active	eService Production	creator		100656-49-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		100-75-4		creator	D												
Substance					Substance	Active	eService Production	creator		100-97-0		creator	D												
Substance					Substance	Active	eService Production	creator		10099-74-8		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		10099-76-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		10099-79-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		101012-92-4		creator	D/P												
Substance					Substance	Active	eService Production	creator		101013-06-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		10101-56-1		creator	D												
Substance					Substance	Active	eService Production	creator		10101-63-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		10101-96-9		creator	D												
Substance					Substance	Active	eService Production	creator		10101-97-0		creator	D												
Substance					Substance	Active	eService Production	creator		10101-98-1		creator	D												
Substance					Substance	Active	eService Production	creator		10102-18-8		creator	D												
Substance					Substance	Active	eService Production	creator		10102-48-4		creator	D/P												
Substance					Substance	Active	eService Production	creator		10102-49-5		creator	D												
Substance					Substance	Active	eService Production	creator		10102-50-8		creator	D												
Substance					Substance	Active	eService Production	creator		10102-53-1		creator	D												
Substance					Substance	Active	eService Production	creator		10103-50-1		creator	D												
Substance					Substance	Active	eService Production	creator		10103-61-4		creator	D												
Substance					Substance	Active	eService Production	creator		10103-62-5		creator	D												
Substance					Substance	Active	eService Production	creator		10108-64-2		creator	D/P												SVHC
